86003 632 1 15597 16181 27467 21268 0
86003 632 1 15597 16181 27467 21268 0
86053 632 1 15588 16181 27467 21268 0
86104 632 1 15588 16188 27467 21268 0
86170 632 1 15588 16188 26794 21268 0
86237 632 1 15588 16188 26794 21264 0
86237 632 1 15588 16188 26794 21264 0
86270 632 1 15602 16188 26794 21264 0
86320 632 1 15602 16173 26794 21264 0
86396 633 1 15602 16173 25416 21264 0
86453 635 1 15602 16173 25416 21228 0
86453 635 1 15602 16173 25416 21228 0
86503 640 1 15592 16173 25416 21228 0
86554 642 1 15592 16180 25416 21228 0
86621 646 1 15592 16180 24601 21228 0
86670 651 1 15592 16180 24601 21195 0
86670 651 1 15592 16180 24601 21195 0
86720 655 1 15594 16180 24601 21195 0
86770 659 1 15594 16164 24601 21195 0
86843 666 1 15594 16164 24334 21195 0
86903 675 1 15594 16164 24334 21192 0
86903 675 1 15594 16164 24334 21192 0
86953 681 1 15578 16164 24334 21192 0
86987 686 1 15578 16173 24334 21192 0
87054 692 1 15578 16173 24254 21192 0
87120 699 1 15578 16173 24254 21185 0
87120 699 1 15578 16173 24254 21185 0
87170 703 1 15591 16173 24254 21185 0
87220 708 1 15591 16154 24254 21185 0
87287 714 1 15591 16154 24231 21185 0
87354 718 1 15591 16154 24231 21173 0
87354 718 1 15591 16154 24231 21173 0
87404 721 1 15562 16154 24231 21173 0
87437 723 1 15562 16153 24231 21173 0
87504 723 1 15562 16153 24222 21173 0
87570 723 1 15562 16153 24222 21193 0
87570 723 1 15562 16153 24222 21193 0
87620 723 1 15545 16153 24222 21193 0
87670 723 1 15545 16147 24222 21193 0
87737 723 1 15545 16147 24236 21193 0
87787 723 1 15545 16147 24236 21190 0
87787 723 1 15545 16147 24236 21190 0
87837 723 1 15536 16147 24236 21190 0
87887 723 1 15536 16160 24236 21190 0
