1612 0 1 0 0 0 0 0
1645 0 1 14721 0 0 0 0
1695 0 1 14721 16150 0 0 0
1767 0 1 14721 16150 24345 0 0
1828 0 1 14721 16150 24345 22121 0
1831 0 1 14721 16150 24345 22121 0
1878 0 1 14755 16150 24345 22121 0
1912 0 1 14755 16193 24345 22121 0
1990 0 1 14755 16193 24319 22121 0
2045 0 1 14755 16193 24319 21980 0
2054 0 1 14755 16193 24319 21980 0
2095 0 1 14694 16193 24319 21980 0
2145 0 1 14694 16084 24319 21980 0
2212 0 1 14694 16084 24260 21980 0
2278 0 1 14694 16084 24260 21982 0
2278 0 1 14694 16084 24260 21982 0
2312 0 1 14709 16084 24260 21982 0
2362 0 1 14709 16169 24260 21982 0
2428 0 1 14709 16169 24222 21982 0
2495 0 1 14709 16169 24222 21880 0
2495 0 1 14709 16169 24222 21880 0
2545 0 1 14708 16169 24222 21880 0
2595 0 1 14708 16137 24222 21880 0
2662 0 1 14708 16137 24194 21880 0
2711 0 1 14708 16137 24194 22047 0
2711 0 1 14708 16137 24194 22047 0
2762 0 1 14712 16137 24194 22047 0
2812 0 1 14712 16082 24194 22047 0
2878 0 1 14712 16082 24199 22047 0
2945 0 1 14712 16082 24199 22101 0
2945 0 1 14712 16082 24199 22101 0
2995 0 1 14708 16082 24199 22101 0
3045 0 1 14708 16124 24199 22101 0
3095 0 1 14708 16124 24258 22101 0
3162 0 1 14708 16124 24258 22054 0
3162 0 1 14708 16124 24258 22054 0
3212 0 1 14707 16124 24258 22054 0
3262 0 1 14707 16155 24258 22054 0
3328 0 1 14707 16155 24217 22054 0
3395 0 1 14707 16155 24217 22048 0
3395 0 1 14707 16155 24217 22048 0
3445 0 1 14710 16155 24217 22048 0
3478 0 1 14710 16165 24217 22048 0
3544 0 1 14710 16165 24270 22048 0
3611 0 1 14710 16165 24270 22085 0
3611 0 1 14710 16165 24270 22085 0
3662 0 1 14707 16165 24270 22085 0
3712 0 1 14707 16181 24270 22085 0
3778 0 1 14707 16181 24290 22085 0
3845 0 1 14707 16181 24290 22294 0
3845 0 1 14707 16181 24290 22294 0
3878 0 1 14715 16181 24290 22294 0
3928 0 1 14715 16146 24290 22294 0
3995 0 1 14715 16146 24264 22294 0
4062 0 1 14715 16146 24264 22393 0
4062 0 1 14715 16146 24264 22393 0
4112 0 1 14712 16146 24264 22393 0
4162 0 1 14712 16086 24264 22393 0
4228 0 1 14712 16086 24235 22393 0
4278 0 1 14712 16086 24235 22541 0
4278 0 1 14712 16086 24235 22541 0
4328 0 1 14705 16086 24235 22541 0
4378 0 1 14705 16200 24235 22541 0
4445 0 1 14705 16200 24298 22541 0
4512 0 1 14705 16200 24298 22445 0
4512 0 1 14705 16200 24298 22445 0
4562 0 1 14710 16200 24298 22445 0
4612 0 1 14710 16226 24298 22445 0
4662 0 1 14710 16226 24324 22445 0
4728 0 1 14710 16226 24324 22439 0
4728 0 1 14710 16226 24324 22439 0
4778 0 1 14709 16226 24324 22439 0
4828 0 1 14709 16237 24324 22439 0
4895 0 1 14709 16237 24340 22439 0
4962 0 1 14709 16237 24340 22433 0
4962 0 1 14709 16237 24340 22433 0
5012 0 1 14716 16237 24340 22433 0
5045 0 1 14716 16259 24340 22433 0
5112 0 1 14716 16259 24364 22433 0
5178 0 1 14716 16259 24364 22407 0
5178 0 1 14716 16259 24364 22407 0
5228 0 1 14705 16259 24364 22407 0
5279 0 1 14705 16232 24364 22407 0
5346 0 1 14705 16232 24345 22407 0
5413 0 1 14705 16232 24345 22417 0
5413 0 1 14705 16232 24345 22417 0
5446 0 1 14697 16232 24345 22417 0
5496 0 1 14697 16243 24345 22417 0
5563 0 1 14697 16243 24348 22417 0
5629 0 1 14697 16243 24348 22412 0
5629 0 1 14697 16243 24348 22412 0
5680 0 1 14711 16243 24348 22412 0
5729 0 1 14711 16221 24348 22412 0
5796 0 1 14711 16221 24327 22412 0
5846 0 1 14711 16221 24327 22406 0
5846 0 1 14711 16221 24327 22406 0
5896 0 1 14704 16221 24327 22406 0
5946 0 1 14704 16216 24327 22406 0
6013 0 1 14704 16216 24336 22406 0
6079 0 1 14704 16216 24336 22359 0
6079 0 1 14704 16216 24336 22359 0
6129 0 1 14705 16216 24336 22359 0
6179 0 1 14705 16222 24336 22359 0
6229 0 1 14705 16222 24334 22359 0
6296 0 1 14705 16222 24334 22355 0
6296 0 1 14705 16222 24334 22355 0
6346 0 1 14708 16222 24334 22355 0
6396 0 1 14708 16125 24334 22355 0
6463 0 1 14708 16125 24288 22355 0
6530 0 1 14708 16125 24288 22405 0
6530 0 1 14708 16125 24288 22405 0
6579 0 1 14696 16125 24288 22405 0
6613 0 1 14696 16064 24288 22405 0
6680 0 1 14696 16064 24300 22405 0
6746 0 1 14696 16064 24300 22425 0
6746 0 1 14696 16064 24300 22425 0
6796 0 1 14702 16064 24300 22425 0
6846 0 1 14702 16062 24300 22425 0
6913 0 1 14702 16062 24277 22425 0
6979 0 1 14702 16062 24277 22461 0
6979 0 1 14702 16062 24277 22461 0
7013 0 1 14695 16062 24277 22461 0
7064 0 1 14695 16055 24277 22461 0
7129 0 1 14695 16055 24287 22461 0
7196 0 1 14695 16055 24287 22482 0
7196 0 1 14695 16055 24287 22482 0
7246 0 1 14699 16055 24287 22482 0
7296 0 1 14699 16060 24287 22482 0
7363 0 1 14699 16060 24292 22482 0
7413 0 1 14699 16060 24292 22475 0
7413 0 1 14699 16060 24292 22475 0
7463 0 1 14708 16060 24292 22475 0
7513 0 1 14708 16057 24292 22475 0
7579 0 1 14708 16057 24189 22475 0
7646 0 1 14708 16057 24189 22020 0
7646 0 1 14708 16057 24189 22020 0
7696 0 1 14697 16057 24189 22020 0
7746 0 1 14697 16038 24189 22020 0
7796 0 1 14697 16038 24114 22020 0
7863 0 1 14697 16038 24114 21930 0
